District,Transport_Score,Rent_Price_USD,Tech_Jobs_Count,Cultural_POI_Count,Transport_Score_Norm,Rent_Price_USD_Norm,Tech_Jobs_Count_Norm,Cultural_POI_Count_Norm,Rent_Affordability_Norm,Score_Transport,Score_Jobs,Score_POI,Score_Rent,Composite_Score
Sergeli,8,400.0,193.5,125.0,1.0,0.0,0.4479166666666667,0.7898089171974523,1.0,10.0,4.479166666666667,7.898089171974522,10.0,8.094313959660298
Yunusabad,7,600.0,193.5,155.0,0.875,0.3333333333333333,0.4479166666666667,0.9808917197452228,0.6666666666666666,8.75,4.479166666666667,9.808917197452228,6.666666666666666,7.42618763269639
Chilanzar,6,500.0,192.0,125.0,0.75,0.1666666666666666,0.4375,0.7898089171974523,0.8333333333333334,7.5,4.375,7.898089171974522,8.333333333333334,7.026605626326964
Mirabad,4,900.0,273.0,158.0,0.5,0.8333333333333334,1.0,1.0,0.1666666666666666,5.0,10.0,10.0,1.666666666666666,6.666666666666666
Mirzo Ulugbek,5,700.0,195.0,156.0,0.625,0.5,0.4583333333333333,0.9872611464968152,0.5,6.25,4.583333333333333,9.872611464968152,5.0,6.426486199575371
Bektemir,1,400.0,193.5,125.0,0.125,0.0,0.4479166666666667,0.7898089171974523,1.0,1.25,4.479166666666667,7.898089171974522,10.0,5.9068139596602975
Yangihayot,2,550.0,193.5,125.0,0.25,0.25,0.4479166666666667,0.7898089171974523,0.75,2.5,4.479166666666667,7.898089171974522,7.5,5.5943139596602975
Yashnobod,8,550.0,193.5,1.0,1.0,0.25,0.4479166666666667,0.0,0.75,10.0,4.479166666666667,0.0,7.5,5.494791666666667
Shaykhantakhur,7,1000.0,193.5,125.0,0.875,1.0,0.4479166666666667,0.7898089171974523,0.0,8.75,4.479166666666667,7.898089171974522,0.0,5.2818139596602975
Uchtepa,0,500.0,193.5,125.0,0.0,0.1666666666666666,0.4479166666666667,0.7898089171974523,0.8333333333333334,0.0,4.479166666666667,7.898089171974522,8.333333333333334,5.1776472929936315
Yakkasaray,1,800.0,193.5,95.0,0.125,0.6666666666666666,0.4479166666666667,0.5987261146496815,0.3333333333333333,1.25,4.479166666666667,5.987261146496815,3.333333333333333,3.7624402866242033
Almazar,0,500.0,129.0,88.0,0.0,0.1666666666666666,0.0,0.554140127388535,0.8333333333333334,0.0,0.0,5.54140127388535,8.333333333333334,3.468683651804671
